,Name,Total Pop,White Pop,Black Pop,Household Type,Computer,State,County,Tract,Block Group
4382,"Block Group 2, Census Tract 711.01, Augusta County, Virginia",1444,96,1292,590,1265,51,015,071101,2
4383,"Block Group 1, Census Tract 8801.01, Greensville County, Virginia",2188,918,1224,951,1864,51,081,880101,1
4384,"Block Group 3, Census Tract 9011, Prince William County, Virginia",822,199,531,50,61,51,153,901100,3
4385,"Block Group 6, Census Tract 9017.01, Prince William County, Virginia",723,208,261,381,704,51,153,901701,6
4386,"Block Group 4, Census Tract 9004.03, Prince William County, Virginia",1116,387,440,646,972,51,153,900403,4
4387,"Block Group 1, Census Tract 1008.22, Chesterfield County, Virginia",1094,106,910,400,1043,51,041,100822,1
4388,"Block Group 1, Census Tract 1008.21, Chesterfield County, Virginia",2881,335,2395,1067,2863,51,041,100821,1
4389,"Block Group 2, Census Tract 454.21, Virginia Beach city, Virginia",2332,673,1471,776,2296,51,810,045421,2
4390,"Block Group 2, Census Tract 454.22, Virginia Beach city, Virginia",2566,488,1743,849,2547,51,810,045422,2
4391,"Block Group 2, Census Tract 460.15, Virginia Beach city, Virginia",1794,342,1095,559,1794,51,810,046015,2
4392,"Block Group 3, Census Tract 102.07, Stafford County, Virginia",2145,343,961,766,2051,51,179,010207,3
4393,"Block Group 4, Census Tract 1028.01, Arlington County, Virginia",975,37,609,496,975,51,013,102801,4
4394,"Block Group 1, Census Tract 4918.03, Fairfax County, Virginia",2755,2,927,932,2749,51,059,491803,1
4395,"Block Group 3, Census Tract 4817.02, Fairfax County, Virginia",719,87,578,478,709,51,059,481702,3
4396,"Block Group 1, Census Tract 26, Norfolk city, Virginia",2205,822,874,575,1380,51,710,002600,1
4397,"Block Group 3, Census Tract 40.02, Norfolk city, Virginia",1111,34,923,644,1111,51,710,004002,3
4398,"Block Group 1, Census Tract 41, Norfolk city, Virginia",2211,2022,93,788,2000,51,710,004100,1
4399,"Block Group 3, Census Tract 44, Norfolk city, Virginia",154,154,0,74,130,51,710,004400,3
4400,"Block Group 2, Census Tract 47, Norfolk city, Virginia",509,425,84,153,477,51,710,004700,2
4401,"Block Group 2, Census Tract 408.01, Virginia Beach city, Virginia",1002,291,567,350,976,51,810,040801,2
4402,"Block Group 3, Census Tract 112, Hampton city, Virginia",889,439,434,385,838,51,650,011200,3
4403,"Block Group 3, Census Tract 102, Amherst County, Virginia",1939,400,1489,599,1079,51,009,010200,3
4404,"Block Group 2, Census Tract 105.03, Amherst County, Virginia",1554,414,1071,656,1308,51,009,010503,2
4405,"Block Group 1, Census Tract 105.02, Amherst County, Virginia",507,116,352,175,422,51,009,010502,1
